product_id,name,category,brand,price
P001,Wireless Headphones,Electronics,SoundMax,79.99
P002,Running Shoes,Footwear,SpeedFit,129.99
P003,Yoga Mat,Sports,FlexPro,34.99
P004,Coffee Maker,Kitchen,BrewCo,89.99
P005,Laptop Stand,Electronics,DeskPro,49.99
P006,Water Bottle,Sports,HydroSip,24.99
P007,Backpack,Accessories,TrekGear,69.99
P008,Smart Watch,Electronics,TimeTech,199.99
P009,Resistance Bands,Sports,FlexPro,19.99
P010,Desk Lamp,Home,LightUp,39.99
P011,Bluetooth Speaker,Electronics,SoundMax,59.99
P012,Tennis Racket,Sports,AcePlay,89.99
P013,Protein Powder,Health,NutriMax,54.99
P014,Sunglasses,Accessories,ShadeCo,44.99
P015,Foam Roller,Sports,FlexPro,29.99
P016,USB Hub,Electronics,DeskPro,35.99
P017,Cookbook,Books,ChefPress,22.99
P018,Hiking Boots,Footwear,TrekGear,149.99
P019,Air Fryer,Kitchen,BrewCo,119.99
P020,Gym Bag,Accessories,SpeedFit,49.99
P021,Noise-Cancelling Earbuds,Electronics,SoundMax,99.99
P022,Cycling Helmet,Sports,SafeRide,74.99
P023,Meal Prep Containers,Kitchen,FreshBox,27.99
P024,Jump Rope,Sports,SpeedFit,14.99
P025,Standing Desk Mat,Home,DeskPro,44.99
